Imovel(ID: 1, Endereco: IXTZJBBYGR, Preco: 199272, Tipo: apartamento, Status: disponível)
Imovel(ID: 94, Endereco: AOLNSHXQYT, Preco: 310144, Tipo: apartamento, Status: disponível)
Imovel(ID: 95, Endereco: EXHCPCTTGD, Preco: 761248, Tipo: casa, Status: disponível)
Imovel(ID: 96, Endereco: WGHNNFUCXR, Preco: 726026, Tipo: apartamento, Status: disponível)
Imovel(ID: 97, Endereco: JNJFVAGGTN, Preco: 443380, Tipo: apartamento, Status: disponível)
Imovel(ID: 98, Endereco: ISOYTHMZMZ, Preco: 400928, Tipo: casa, Status: disponível)
Imovel(ID: 99, Endereco: RUQMBOZKUU, Preco: 167252, Tipo: apartamento, Status: disponível)
Imovel(ID: 100, Endereco: HFRGVSOCEN, Preco: 929957, Tipo: apartamento, Status: disponível)
Imovel(ID: 101, Endereco: UMOQCEYPDQ, Preco: 409665, Tipo: apartamento, Status: disponível)
Imovel(ID: 102, Endereco: LYCVTHBOEK, Preco: 118261, Tipo: casa, Status: disponível)
Imovel(ID: 103, Endereco: ULDTZRCURJ, Preco: 497499, Tipo: casa, Status: disponível)
Imovel(ID: 104, Endereco: LGMUPCYXFE, Preco: 565132, Tipo: apartamento, Status: disponível)
Imovel(ID: 105, Endereco: EBHBGGSFIF, Preco: 547326, Tipo: casa, Status: disponível)
Imovel(ID: 106, Endereco: TKRROJRICW, Preco: 960315, Tipo: apartamento, Status: disponível)
Imovel(ID: 107, Endereco: TOWFORDLZW, Preco: 734702, Tipo: casa, Status: disponível)
Imovel(ID: 108, Endereco: YGXAVXDBHE, Preco: 816980, Tipo: casa, Status: disponível)
Imovel(ID: 109, Endereco: EROCFMTFFU, Preco: 459550, Tipo: casa, Status: disponível)
Imovel(ID: 110, Endereco: VEQUEWBRGZ, Preco: 728572, Tipo: casa, Status: disponível)
Imovel(ID: 111, Endereco: AFGZQBIUID, Preco: 516429, Tipo: apartamento, Status: disponível)
Imovel(ID: 112, Endereco: BZSYHYLRPP, Preco: 408339, Tipo: casa, Status: disponível)
Imovel(ID: 113, Endereco: WLWWRFCBTY, Preco: 977113, Tipo: apartamento, Status: disponível)
Imovel(ID: 114, Endereco: XLKMLDQKVU, Preco: 756902, Tipo: casa, Status: disponível)
Imovel(ID: 115, Endereco: JTRKHYROBM, Preco: 254490, Tipo: apartamento, Status: disponível)
Imovel(ID: 116, Endereco: EKJXRIDNAQ, Preco: 736435, Tipo: casa, Status: disponível)
Imovel(ID: 117, Endereco: DYCKICJXDO, Preco: 308571, Tipo: casa, Status: disponível)
Imovel(ID: 118, Endereco: SLYCOBGIFW, Preco: 672776, Tipo: casa, Status: disponível)
Imovel(ID: 119, Endereco: AUPLHYUACU, Preco: 740702, Tipo: casa, Status: disponível)
Imovel(ID: 120, Endereco: IPBJOUOQOA, Preco: 323555, Tipo: apartamento, Status: disponível)
Imovel(ID: 121, Endereco: MJZUGBOTFT, Preco: 398010, Tipo: apartamento, Status: disponível)
Imovel(ID: 122, Endereco: VYIIZRLPBC, Preco: 855699, Tipo: casa, Status: disponível)
Imovel(ID: 123, Endereco: JHGOJDUQYR, Preco: 860682, Tipo: apartamento, Status: disponível)
Imovel(ID: 124, Endereco: DALIVBRVEM, Preco: 602375, Tipo: casa, Status: disponível)
Imovel(ID: 125, Endereco: ZAJYLLBAAU, Preco: 794018, Tipo: apartamento, Status: disponível)
Imovel(ID: 126, Endereco: YZYANFMBXO, Preco: 200086, Tipo: casa, Status: disponível)
Imovel(ID: 127, Endereco: MBYERZYYNZ, Preco: 756193, Tipo: casa, Status: disponível)
Imovel(ID: 128, Endereco: KONWZLPINN, Preco: 429346, Tipo: casa, Status: disponível)
Imovel(ID: 129, Endereco: VHZVWSJKXL, Preco: 632667, Tipo: apartamento, Status: disponível)
Imovel(ID: 130, Endereco: ODZYGSRLMS, Preco: 745279, Tipo: apartamento, Status: disponível)
Imovel(ID: 131, Endereco: GPZDCNIACN, Preco: 209508, Tipo: casa, Status: disponível)
Imovel(ID: 132, Endereco: UVDCJZYAJE, Preco: 275328, Tipo: casa, Status: disponível)
Imovel(ID: 133, Endereco: SLIVMQCHUE, Preco: 879081, Tipo: apartamento, Status: disponível)
Imovel(ID: 134, Endereco: QRBZYDICQS, Preco: 774898, Tipo: casa, Status: disponível)
Imovel(ID: 135, Endereco: ECTZMUDOWB, Preco: 285912, Tipo: apartamento, Status: disponível)
Imovel(ID: 136, Endereco: SLVTZMEELO, Preco: 172066, Tipo: apartamento, Status: disponível)
Imovel(ID: 137, Endereco: SIZZLHDAZJ, Preco: 903245, Tipo: casa, Status: disponível)
Imovel(ID: 138, Endereco: RTZRICFRMF, Preco: 429692, Tipo: casa, Status: disponível)
Imovel(ID: 139, Endereco: UIXZHTHXVW, Preco: 594003, Tipo: casa, Status: disponível)
Imovel(ID: 140, Endereco: GKQRBZQKBV, Preco: 992920, Tipo: casa, Status: disponível)
Imovel(ID: 141, Endereco: MUZFCISHZZ, Preco: 719005, Tipo: casa, Status: disponível)
Imovel(ID: 142, Endereco: GWLXVUPLQB, Preco: 734871, Tipo: casa, Status: disponível)
Imovel(ID: 143, Endereco: ZWWYYHOMOD, Preco: 415915, Tipo: casa, Status: disponível)
Imovel(ID: 144, Endereco: PZYYNOGWHZ, Preco: 176394, Tipo: casa, Status: disponível)
Imovel(ID: 145, Endereco: UOJPYMRUBZ, Preco: 836034, Tipo: casa, Status: disponível)
Imovel(ID: 146, Endereco: XLEJIROELM, Preco: 884783, Tipo: casa, Status: disponível)
Imovel(ID: 147, Endereco: GRGWFANFNC, Preco: 175301, Tipo: casa, Status: disponível)
Imovel(ID: 148, Endereco: PSEVYTHOZH, Preco: 520561, Tipo: apartamento, Status: disponível)
Imovel(ID: 149, Endereco: QLQZYHENLG, Preco: 750322, Tipo: apartamento, Status: disponível)
Imovel(ID: 150, Endereco: COCKGBPCRF, Preco: 310853, Tipo: casa, Status: disponível)
Imovel(ID: 151, Endereco: FLMXMZDKXE, Preco: 107710, Tipo: apartamento, Status: disponível)
Imovel(ID: 152, Endereco: TQCKTCAUHB, Preco: 142834, Tipo: casa, Status: disponível)
Imovel(ID: 153, Endereco: AKNPFXVTZX, Preco: 268772, Tipo: casa, Status: disponível)
Imovel(ID: 154, Endereco: RQYRLCBDOP, Preco: 418162, Tipo: apartamento, Status: disponível)
Imovel(ID: 155, Endereco: XFPLRCSJOF, Preco: 635615, Tipo: casa, Status: disponível)
Imovel(ID: 156, Endereco: XLAGHZYFDB, Preco: 560679, Tipo: casa, Status: disponível)
Imovel(ID: 157, Endereco: YNETJVMSXR, Preco: 447634, Tipo: apartamento, Status: disponível)
Imovel(ID: 158, Endereco: GBCOOJNMKP, Preco: 987258, Tipo: apartamento, Status: disponível)
Imovel(ID: 159, Endereco: WMYXBLRQVD, Preco: 571957, Tipo: casa, Status: disponível)
Imovel(ID: 160, Endereco: CDPMVZUIZG, Preco: 811586, Tipo: apartamento, Status: disponível)
Imovel(ID: 161, Endereco: NCZAGPVZTI, Preco: 552208, Tipo: casa, Status: disponível)
Imovel(ID: 162, Endereco: LUTKLGDMPL, Preco: 681368, Tipo: casa, Status: disponível)
Imovel(ID: 163, Endereco: LLQZEEQNYP, Preco: 184530, Tipo: casa, Status: disponível)
Imovel(ID: 164, Endereco: PQANPSZKZR, Preco: 910713, Tipo: apartamento, Status: disponível)
Imovel(ID: 165, Endereco: GUKLAAIDJB, Preco: 690369, Tipo: apartamento, Status: disponível)
Imovel(ID: 166, Endereco: LQKYCOUZHC, Preco: 938438, Tipo: apartamento, Status: disponível)
Imovel(ID: 167, Endereco: ARFYAIEWKY, Preco: 262333, Tipo: apartamento, Status: disponível)
Imovel(ID: 168, Endereco: IQDHEKDAIG, Preco: 758970, Tipo: apartamento, Status: disponível)
Imovel(ID: 169, Endereco: TWTVSVESIM, Preco: 150596, Tipo: casa, Status: disponível)
Imovel(ID: 170, Endereco: UPLLJYVHWQ, Preco: 298860, Tipo: casa, Status: disponível)
Imovel(ID: 171, Endereco: DIGKOWDOOM, Preco: 224986, Tipo: apartamento, Status: disponível)
Imovel(ID: 172, Endereco: CYXJYHNVPD, Preco: 169310, Tipo: casa, Status: disponível)
Imovel(ID: 173, Endereco: RMQSROGHNN, Preco: 991457, Tipo: apartamento, Status: disponível)
Imovel(ID: 174, Endereco: ZTBZGXQRZJ, Preco: 375923, Tipo: casa, Status: disponível)
Imovel(ID: 175, Endereco: SINGMXMEUL, Preco: 999933, Tipo: casa, Status: disponível)
Imovel(ID: 176, Endereco: NALNPVGVCW, Preco: 462340, Tipo: casa, Status: disponível)
Imovel(ID: 177, Endereco: ATFMWRAKWG, Preco: 509353, Tipo: apartamento, Status: disponível)
Imovel(ID: 178, Endereco: RMVGBEBFRH, Preco: 480253, Tipo: casa, Status: disponível)
Imovel(ID: 179, Endereco: QZOLFXMPYE, Preco: 720977, Tipo: apartamento, Status: disponível)
Imovel(ID: 180, Endereco: YPSRNPKYNU, Preco: 268142, Tipo: casa, Status: disponível)
Imovel(ID: 181, Endereco: KGCLBHLTCC, Preco: 266715, Tipo: apartamento, Status: disponível)
Imovel(ID: 182, Endereco: TBHHEHZOLA, Preco: 246594, Tipo: casa, Status: disponível)
Imovel(ID: 183, Endereco: DOEAZQGWAA, Preco: 859639, Tipo: apartamento, Status: disponível)
Imovel(ID: 184, Endereco: ETGPOZLJWY, Preco: 945780, Tipo: casa, Status: disponível)
Imovel(ID: 185, Endereco: OMTNSSUACD, Preco: 296583, Tipo: apartamento, Status: disponível)
Imovel(ID: 186, Endereco: FQEZLLXKMF, Preco: 339433, Tipo: apartamento, Status: disponível)
Imovel(ID: 187, Endereco: QOKDAVQNQV, Preco: 653481, Tipo: casa, Status: disponível)
Imovel(ID: 188, Endereco: IFUNRUPLVG, Preco: 442807, Tipo: apartamento, Status: disponível)
Imovel(ID: 189, Endereco: MYOYCZQXNV, Preco: 800863, Tipo: casa, Status: disponível)
Imovel(ID: 190, Endereco: RKHDNWBRHM, Preco: 335599, Tipo: apartamento, Status: disponível)
Imovel(ID: 191, Endereco: IPKLGYRYOG, Preco: 945868, Tipo: casa, Status: disponível)
Imovel(ID: 192, Endereco: WCTEVHCYGW, Preco: 479453, Tipo: apartamento, Status: disponível)
Imovel(ID: 193, Endereco: DLFAAJGHJD, Preco: 779743, Tipo: apartamento, Status: disponível)
Imovel(ID: 194, Endereco: YESUDDHOHY, Preco: 599820, Tipo: apartamento, Status: disponível)
Imovel(ID: 195, Endereco: HHPXJEXIVD, Preco: 767902, Tipo: apartamento, Status: disponível)
Imovel(ID: 196, Endereco: KHRUOCUDFM, Preco: 758097, Tipo: apartamento, Status: disponível)
Imovel(ID: 197, Endereco: ITLLLXGJLU, Preco: 416279, Tipo: casa, Status: disponível)
Imovel(ID: 198, Endereco: JSTFEXCJNA, Preco: 153498, Tipo: apartamento, Status: disponível)
Imovel(ID: 199, Endereco: SIMMSEUEBQ, Preco: 971523, Tipo: casa, Status: disponível)
Imovel(ID: 200, Endereco: WPVKSIKIPI, Preco: 357823, Tipo: casa, Status: disponível)
