Imovel(ID: I80, Endereco: EDCGDTUXKG, Preco: 661006, Tipo: apartamento, Status: disponível)
Imovel(ID: I87, Endereco: QFFADSUMZQ, Preco: 521341, Tipo: apartamento, Status: disponível)
Imovel(ID: I151, Endereco: PWCAOAAJYS, Preco: 353294, Tipo: apartamento, Status: disponível)
Imovel(ID: I6, Endereco: OGKJNQVMJQ, Preco: 346951, Tipo: apartamento, Status: disponível)
Imovel(ID: I82, Endereco: BLIKGXWQFK, Preco: 804815, Tipo: apartamento, Status: disponível)
Imovel(ID: I171, Endereco: YJKVATXCGO, Preco: 315325, Tipo: casa, Status: disponível)
Imovel(ID: I42, Endereco: YNYZVZMDGD, Preco: 675562, Tipo: apartamento, Status: disponível)
Imovel(ID: I165, Endereco: HATIBMTMLY, Preco: 677260, Tipo: casa, Status: disponível)
Imovel(ID: I11, Endereco: NQLRYNNEHD, Preco: 944172, Tipo: casa, Status: disponível)
Imovel(ID: I106, Endereco: FMKMDQZMRY, Preco: 360514, Tipo: apartamento, Status: disponível)
Imovel(ID: I17, Endereco: ZBHZPMZUTR, Preco: 224416, Tipo: apartamento, Status: disponível)
Imovel(ID: I132, Endereco: RNIXHTPFJI, Preco: 847149, Tipo: casa, Status: disponível)
Imovel(ID: I137, Endereco: NFIMTTPLDS, Preco: 240243, Tipo: casa, Status: disponível)
Imovel(ID: I75, Endereco: IDBMDXKHUT, Preco: 799735, Tipo: casa, Status: disponível)
Imovel(ID: I25, Endereco: OYIWTXZBYH, Preco: 369421, Tipo: apartamento, Status: disponível)
Imovel(ID: I173, Endereco: YZXVTQWTCO, Preco: 612147, Tipo: casa, Status: disponível)
Imovel(ID: I113, Endereco: EGYAHZRSUH, Preco: 909668, Tipo: apartamento, Status: disponível)
Imovel(ID: I158, Endereco: KWQXFCAQQS, Preco: 187046, Tipo: casa, Status: disponível)
Imovel(ID: I144, Endereco: XAEGGOKXKM, Preco: 919666, Tipo: casa, Status: disponível)
Imovel(ID: I141, Endereco: OAEUNSEKOL, Preco: 547013, Tipo: casa, Status: disponível)
Imovel(ID: I31, Endereco: NSMXVDSYXG, Preco: 928095, Tipo: apartamento, Status: disponível)
Imovel(ID: I134, Endereco: KACKCUYFCD, Preco: 296297, Tipo: apartamento, Status: disponível)
Imovel(ID: I74, Endereco: OJRPXKPGZN, Preco: 599013, Tipo: apartamento, Status: disponível)
Imovel(ID: I105, Endereco: DSDFIUBRPX, Preco: 969233, Tipo: apartamento, Status: disponível)
Imovel(ID: I43, Endereco: CDWAUDSHJV, Preco: 277421, Tipo: apartamento, Status: disponível)
Imovel(ID: I24, Endereco: USTPMIKNSW, Preco: 321649, Tipo: apartamento, Status: disponível)
Imovel(ID: I55, Endereco: WDBGIMXQDN, Preco: 943814, Tipo: casa, Status: disponível)
Imovel(ID: I54, Endereco: GHNNDAWHNM, Preco: 179912, Tipo: apartamento, Status: disponível)
Imovel(ID: I53, Endereco: MBONJKUSNR, Preco: 574642, Tipo: apartamento, Status: disponível)
Imovel(ID: I142, Endereco: KENOODEXDV, Preco: 176760, Tipo: casa, Status: disponível)
Imovel(ID: I152, Endereco: UDCMWQTVXW, Preco: 723173, Tipo: apartamento, Status: disponível)
Imovel(ID: I81, Endereco: CVFAVSVHNE, Preco: 674831, Tipo: apartamento, Status: disponível)
Imovel(ID: I115, Endereco: SZGQOZFKSC, Preco: 372290, Tipo: casa, Status: disponível)
Imovel(ID: I147, Endereco: GOXAYLSKZF, Preco: 362062, Tipo: casa, Status: disponível)
Imovel(ID: I48, Endereco: QPOFFGZELH, Preco: 825758, Tipo: apartamento, Status: disponível)
Imovel(ID: I32, Endereco: GSQWQRETWY, Preco: 627527, Tipo: casa, Status: disponível)
Imovel(ID: I36, Endereco: YYQUBHQRHL, Preco: 918541, Tipo: casa, Status: disponível)
Imovel(ID: I90, Endereco: PSKZQXSKYZ, Preco: 631250, Tipo: casa, Status: disponível)
Imovel(ID: I169, Endereco: MKZWWCTKZR, Preco: 230533, Tipo: apartamento, Status: disponível)
Imovel(ID: I127, Endereco: GTKIXATZMK, Preco: 516324, Tipo: casa, Status: disponível)
Imovel(ID: I79, Endereco: XNBGIKNPQD, Preco: 463748, Tipo: apartamento, Status: disponível)
Imovel(ID: I128, Endereco: NBIGGKWBQQ, Preco: 540106, Tipo: apartamento, Status: disponível)
Imovel(ID: I100, Endereco: BFDEJMLXSG, Preco: 765086, Tipo: apartamento, Status: disponível)
Imovel(ID: I62, Endereco: CUJQBESTUE, Preco: 918470, Tipo: apartamento, Status: disponível)
Imovel(ID: I4, Endereco: NKWMQLKDPO, Preco: 994878, Tipo: casa, Status: disponível)
Imovel(ID: I114, Endereco: SVLEKCXDMV, Preco: 103708, Tipo: apartamento, Status: disponível)
Imovel(ID: I187, Endereco: PEUEQYGCVT, Preco: 701086, Tipo: casa, Status: disponível)
Imovel(ID: I16, Endereco: OCZXLSPRWA, Preco: 854237, Tipo: apartamento, Status: disponível)
Imovel(ID: I50, Endereco: KKHEDZXZXN, Preco: 483446, Tipo: apartamento, Status: disponível)
Imovel(ID: I186, Endereco: YMCYLXLEQH, Preco: 970609, Tipo: apartamento, Status: disponível)
Imovel(ID: I14, Endereco: CYJRFWANVH, Preco: 173558, Tipo: apartamento, Status: disponível)
Imovel(ID: I183, Endereco: ORKMVDBCRI, Preco: 607712, Tipo: casa, Status: disponível)
Imovel(ID: I155, Endereco: AAXIHHLESD, Preco: 619380, Tipo: casa, Status: disponível)
Imovel(ID: I94, Endereco: WLQVOGVRLZ, Preco: 143944, Tipo: apartamento, Status: disponível)
Imovel(ID: I44, Endereco: DHPOFGPUNV, Preco: 511280, Tipo: apartamento, Status: disponível)
Imovel(ID: I139, Endereco: GDMGGWEOPB, Preco: 101554, Tipo: apartamento, Status: disponível)
Imovel(ID: I190, Endereco: LMZGPLKIJH, Preco: 555898, Tipo: casa, Status: disponível)
Imovel(ID: I46, Endereco: ZWVKOJYTUJ, Preco: 492367, Tipo: apartamento, Status: disponível)
Imovel(ID: I59, Endereco: IXZRCJRURK, Preco: 992319, Tipo: apartamento, Status: disponível)
Imovel(ID: I23, Endereco: PHJPQVAXWE, Preco: 313843, Tipo: casa, Status: disponível)
Imovel(ID: I88, Endereco: QQOEMTXVAC, Preco: 752187, Tipo: apartamento, Status: disponível)
Imovel(ID: I135, Endereco: NLHBRLEHEF, Preco: 506950, Tipo: casa, Status: disponível)
Imovel(ID: I192, Endereco: QMYUAFBKQO, Preco: 912584, Tipo: apartamento, Status: disponível)
Imovel(ID: I102, Endereco: ADLHWNISZT, Preco: 964833, Tipo: casa, Status: disponível)
Imovel(ID: I159, Endereco: WWYSOLWBJH, Preco: 241916, Tipo: apartamento, Status: disponível)
Imovel(ID: I2, Endereco: PYVMLBQLRL, Preco: 376354, Tipo: apartamento, Status: disponível)
Imovel(ID: I199, Endereco: ZOQPHMBYDP, Preco: 241000, Tipo: casa, Status: disponível)
Imovel(ID: I119, Endereco: HFEDLWVIIW, Preco: 585357, Tipo: casa, Status: disponível)
Imovel(ID: I129, Endereco: NCWWTSDGCJ, Preco: 334298, Tipo: casa, Status: disponível)
Imovel(ID: I176, Endereco: MKWRQFKTSZ, Preco: 446565, Tipo: casa, Status: disponível)
Imovel(ID: I68, Endereco: BQGFHZMPGU, Preco: 996145, Tipo: casa, Status: disponível)
Imovel(ID: I49, Endereco: LUKAIMVSMJ, Preco: 666246, Tipo: apartamento, Status: disponível)
Imovel(ID: I97, Endereco: TCXPDWMPOI, Preco: 731650, Tipo: casa, Status: disponível)
Imovel(ID: I154, Endereco: TNTEXCIQTL, Preco: 916410, Tipo: casa, Status: disponível)
Imovel(ID: I120, Endereco: XDIBIYAHPK, Preco: 568785, Tipo: apartamento, Status: disponível)
Imovel(ID: I168, Endereco: XIYVOLCTGE, Preco: 391699, Tipo: apartamento, Status: disponível)
Imovel(ID: I57, Endereco: QBVAPYPVUG, Preco: 105334, Tipo: apartamento, Status: disponível)
Imovel(ID: I76, Endereco: PJYQGTEDIG, Preco: 446350, Tipo: apartamento, Status: disponível)
Imovel(ID: I117, Endereco: CCQVWCSCWD, Preco: 257064, Tipo: casa, Status: disponível)
Imovel(ID: I19, Endereco: ADDBIGOPVK, Preco: 736503, Tipo: apartamento, Status: disponível)
Imovel(ID: I93, Endereco: FOJBCTXANT, Preco: 812260, Tipo: apartamento, Status: disponível)
Imovel(ID: I12, Endereco: SQPDXSMECU, Preco: 544560, Tipo: apartamento, Status: disponível)
Imovel(ID: I22, Endereco: QGRPSLQYZX, Preco: 829454, Tipo: apartamento, Status: disponível)
Imovel(ID: I157, Endereco: AAPALLLTFY, Preco: 803014, Tipo: apartamento, Status: disponível)
Imovel(ID: I92, Endereco: HZIFLOIMJN, Preco: 690308, Tipo: casa, Status: disponível)
Imovel(ID: I34, Endereco: KOKQWMNJMD, Preco: 948873, Tipo: casa, Status: disponível)
Imovel(ID: I13, Endereco: RUJETZSYJK, Preco: 806736, Tipo: casa, Status: disponível)
Imovel(ID: I35, Endereco: NTTTKWMWNR, Preco: 859513, Tipo: apartamento, Status: disponível)
Imovel(ID: I89, Endereco: VQQYHBPBBF, Preco: 109004, Tipo: apartamento, Status: disponível)
Imovel(ID: I5, Endereco: LFKLTITPLR, Preco: 409205, Tipo: casa, Status: disponível)
Imovel(ID: I45, Endereco: ISRTAUKAXP, Preco: 560749, Tipo: casa, Status: disponível)
Imovel(ID: I178, Endereco: ARYJWYDOTZ, Preco: 141322, Tipo: casa, Status: disponível)
Imovel(ID: I146, Endereco: QJIVZHYHZD, Preco: 253210, Tipo: casa, Status: disponível)
Imovel(ID: I29, Endereco: VRFGYWDPXW, Preco: 133334, Tipo: apartamento, Status: disponível)
Imovel(ID: I200, Endereco: UFQKSLKXPG, Preco: 349997, Tipo: apartamento, Status: disponível)
Imovel(ID: I116, Endereco: TQTNTXGXON, Preco: 554681, Tipo: apartamento, Status: disponível)
Imovel(ID: I175, Endereco: SFYJYRZJIF, Preco: 479043, Tipo: casa, Status: disponível)
Imovel(ID: I66, Endereco: MJHIHGWAHH, Preco: 840338, Tipo: casa, Status: disponível)
